id,formula,reduced_formula,elements,n_elements,nsites,volume,density,crystal_system,space_group,space_group_number,point_group,dimensionality,corrected_energy,formation_energy_per_atom,decomposition_energy_per_atom,decomposition_energy_relative,bandgap_ev,bandgap_type,gnome_material_id,source,data_version,created_at
Cs1S6Zr3,Cs1S6Zr3,Cs(ZrS2)3,S; Zr; Cs,3,10,3029202.0,32834.0,monoclinic,C2/m,12,2/m,intercalated ion,-704155.0,-19058.0,-1625.0,-56.0,0.0023,semiconductor,000006a8c4,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.168155Z
B24Na1Nd2Pr1,B24Na1Nd2Pr1,NaPr(NdB12)2,B; Na; Pr; Nd,4,28,2846332.0,41529.0,orthorhombic,Cmmm,65,mmm,intercalated ion,-1874655.0,-4114.0,-381.0,1.0,0.0526,semiconductor,0000a1b980,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.171445Z
Er8Ge4Si12Zr12,Er8Ge4Si12Zr12,Er2Zr3Si3Ge,Si; Ge; Zr; Er,4,36,7275283.0,69851.0,triclinic,P1,1,1,3D,-2540953.0,-8718.0,-186.0,-1.0,inf,semiconductor,0001759321,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.174606Z
Bi1Er8Ni5Y4,Bi1Er8Ni5Y4,Y4Er8Ni5Bi,Ni; Y; Er; Bi,4,18,4483358.0,8134.0,orthorhombic,Immm,71,mmm,3D,-1021835.0,-3881.0,-25.0,-4.0,0.0021,semiconductor,0001803dde,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.177230Z
Bi1Sm1Sn15Tm19,Bi1Sm1Sn15Tm19,SmTm19Sn15Bi,Sn; Sm; Tm; Bi,4,36,9883794.0,89879.0,triclinic,P1,1,1,3D,-1791324.0,-7039.0,-25.0,9.0,,semiconductor,00018c7897,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.179987Z
Co4Ga1Gd4In1Tb8,Co4Ga1Gd4In1Tb8,Tb8Gd4InGaCo4,Co; Ga; In; Gd; Tb,5,18,451756.0,85302.0,orthorhombic,Immm,71,mmm,3D,-1326393.0,-2804.0,-315.0,-8.0,,semiconductor,00019facb3,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.182671Z
Er2P6Ru12Si1,Er2P6Ru12Si1,Er2Si(PRu2)6,Si; P; Ru; Er,4,21,3043722.0,96089.0,hexagonal,P-6,174,-6,3D,-1739893.0,-7455.0,-232.0,-44.0,0.0059,semiconductor,0001bfac1b,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.185484Z
As1Cu4Sc3Si1,As1Cu4Sc3Si1,Sc3Cu4SiAs,Si; Sc; Cu; As,4,9,1419059.0,57579.0,hexagonal,P-6,174,-6,,-510533.0,-6194.0,-126.0,-26.0,,semiconductor,00025f7488,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.188211Z
Cd4Co1Ni3Tb4Y12,Cd4Co1Ni3Tb4Y12,Tb4Y12Cd4CoNi3,Co; Ni; Y; Cd; Tb,5,24,6250173.0,63424.0,trigonal,R3m,160,3m,3D,-1312561.0,-2909.0,-68.0,1.0,0.0012,semiconductor,000388c7bb,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.191122Z
Ca4O16Ru3W1,Ca4O16Ru3W1,Ca4Ru3WO16,O; Ca; Ru; W,4,24,3334912.0,4498.0,triclinic,P1,1,1,intercalated ion,-1816907.0,-22383.0,-136.0,-12.0,0.0014,semiconductor,0004ee570b,Acadia Nanoforge Database,1.0,2025-10-30T15:11:14.193743Z
